Care,Fairness,Ingroup,Authority,Purity,count,percentage,moral_probabilities
0,0,0,0,0,704,67.17557251908397,0.6717557251908397
0,0,0,0,1,11,1.049618320610687,0.01049618320610687
0,0,0,1,0,13,1.2404580152671756,0.012404580152671756
0,0,0,1,1,2,0.19083969465648853,0.0019083969465648854
0,0,1,0,0,7,0.6679389312977099,0.006679389312977099
0,0,1,1,0,2,0.19083969465648853,0.0019083969465648854
0,1,0,0,0,35,3.3396946564885495,0.033396946564885496
0,1,0,0,1,3,0.2862595419847328,0.002862595419847328
0,1,0,1,0,3,0.2862595419847328,0.002862595419847328
0,1,0,1,1,2,0.19083969465648853,0.0019083969465648854
0,1,1,0,0,1,0.09541984732824427,0.0009541984732824427
0,1,1,0,1,2,0.19083969465648853,0.0019083969465648854
0,1,1,1,1,3,0.2862595419847328,0.002862595419847328
1,0,0,0,0,91,8.68320610687023,0.0868320610687023
1,0,0,0,1,8,0.7633587786259541,0.007633587786259542
1,0,0,1,0,7,0.6679389312977099,0.006679389312977099
1,0,0,1,1,2,0.19083969465648853,0.0019083969465648854
1,0,1,0,0,9,0.8587786259541985,0.008587786259541985
1,0,1,0,1,1,0.09541984732824427,0.0009541984732824427
1,0,1,1,0,2,0.19083969465648853,0.0019083969465648854
1,0,1,1,1,1,0.09541984732824427,0.0009541984732824427
1,1,0,0,0,73,6.965648854961833,0.06965648854961833
1,1,0,0,1,12,1.1450381679389312,0.011450381679389311
1,1,0,1,0,6,0.5725190839694656,0.005725190839694656
1,1,0,1,1,7,0.6679389312977099,0.006679389312977099
1,1,1,0,0,7,0.6679389312977099,0.006679389312977099
1,1,1,0,1,6,0.5725190839694656,0.005725190839694656
1,1,1,1,0,6,0.5725190839694656,0.005725190839694656
1,1,1,1,1,22,2.099236641221374,0.02099236641221374
